Fortune_Rank,Company,Industry,Revenue,Employees,HQ_City,HQ_State,Website,Careers_URL,CEO,Founded,Public_Private,Ticker,Funding_Info
850,Replit,AI-powered IDE & Cloud Dev,$100M+,250,San Francisco,CA,https://replit.com,https://replit.com/site/careers,Amjad Masad,2016,Private,N/A,"Series C ($222M raised, $1.16B valuation)"
860,Together AI,AI Cloud & Open Models,$200M+,200,San Francisco,CA,https://together.ai,https://www.together.ai/careers,Vipul Prakash,2022,Private,N/A,"Series B ($525M raised, $3.3B valuation)"
870,Weights & Biases,ML Ops & Experiment Tracking,$100M+,400,San Francisco,CA,https://wandb.ai,https://wandb.ai/careers,Lukas Biewald,2017,Private,N/A,"Series D ($400M raised, $1.25B valuation)"
880,Coda,Doc-powered Workflows,$50M+,400,San Francisco,CA,https://coda.io,https://coda.io/jobs,Shishir Mehrotra,2014,Private,N/A,"Series D ($400M raised, $1.4B valuation)"
890,LaunchDarkly,Feature Management Platform,$200M+,800,Oakland,CA,https://launchdarkly.com,https://launchdarkly.com/careers/,Edith Harbaugh,2014,Private,N/A,"Series E ($330M raised, $3B valuation)"
900,GitHub Copilot / Microsoft DevDiv,AI Dev Tools,Part of Microsoft,N/A,Redmond,WA,https://github.com/features/copilot,https://careers.microsoft.com,N/A,N/A,Subsidiary,N/A,Part of Microsoft
910,Netlify,Web Development Platform,$100M+,350,San Francisco,CA,https://netlify.com,https://www.netlify.com/careers/,Matt Biilmann,2014,Private,N/A,"Series D ($200M raised, $2B valuation)"
920,Lattice,People Management Platform,$150M+,800,San Francisco,CA,https://lattice.com,https://lattice.com/careers,Jack Altman,2015,Private,N/A,"Series F ($329M raised, $3B valuation)"
930,Harness,DevOps & CI/CD Platform,$200M+,"1,000",San Francisco,CA,https://harness.io,https://www.harness.io/company/careers,Jyoti Bansal,2016,Private,N/A,"Series D ($425M raised, $3.7B valuation)"
940,Render,Cloud Hosting Platform,$50M+,150,San Francisco,CA,https://render.com,https://render.com/careers,Anurag Goel,2018,Private,N/A,Series C ($80M raised)
950,Samsara,IoT & Fleet Management,$1.0B,"3,000",San Francisco,CA,https://samsara.com,https://www.samsara.com/company/careers,Sanjit Biswas,2015,Public,IOT,IPO
960,UiPath,Robotic Process Automation,$1.4B,"4,100",New York,NY,https://uipath.com,https://www.uipath.com/company/careers,Daniel Dines,2005,Public,PATH,IPO
970,SoFi Technologies,Fintech & Digital Banking,$2.6B,"5,500",San Francisco,CA,https://sofi.com,https://www.sofi.com/careers/,Anthony Noto,2011,Public,SOFI,IPO
980,Marqeta,Card Issuing Platform,$600M,700,Oakland,CA,https://marqeta.com,https://www.marqeta.com/company/careers,Simon Khalaf,2010,Public,MQ,IPO
990,Bill Holdings,Financial Automation,$1.4B,"2,300",San Jose,CA,https://bill.com,https://www.bill.com/about-us/careers,René Lacerte,2006,Public,BILL,IPO
1000,Braze,Customer Engagement Platform,$600M,"2,000",New York,NY,https://braze.com,https://www.braze.com/company/careers,Bill Magnuson,2011,Public,BRZE,IPO
1050,Amplitude,Digital Analytics Platform,$300M,750,San Francisco,CA,https://amplitude.com,https://amplitude.com/careers,Spenser Skates,2012,Public,AMPL,IPO
1100,Sprinklr,Unified CXM Platform,$730M,"3,700",New York,NY,https://sprinklr.com,https://www.sprinklr.com/careers/,Trac Pham,2009,Public,CXM,IPO
1150,JFrog,DevOps & Software Supply Chain,$400M,"1,400",Sunnyvale,CA,https://jfrog.com,https://jfrog.com/jobs/,Shlomi Ben Haim,2008,Public,FROG,IPO
1200,Five9,Cloud Contact Center,$1.0B,"3,000",San Ramon,CA,https://five9.com,https://www.five9.com/about/careers,Mike Burkland,2001,Public,FIVN,IPO
1250,Freshworks,"Business Software (CRM, ITSM)",$720M,"5,800",San Mateo,CA,https://freshworks.com,https://www.freshworks.com/company/careers/,Dennis Woodside,2010,Public,FRSH,IPO
1300,Bentley Systems,Infrastructure Engineering Software,$1.3B,"5,200",Exton,PA,https://bentley.com,https://www.bentley.com/careers/,Nicholas Cumins,1984,Public,BSY,IPO
1350,Nutanix,Hybrid Cloud Infrastructure,$2.2B,"7,800",San Jose,CA,https://nutanix.com,https://www.nutanix.com/company/careers,Rajiv Ramaswami,2009,Public,NTNX,IPO
1400,Relativity (kCura),Legal Tech & eDiscovery,$500M+,"2,000",Chicago,IL,https://relativity.com,https://www.relativity.com/company/careers/,Mike Gamson,2001,Private,N/A,"Private Equity (Silver Lake, $3.6B valuation)"
1450,Kong Inc.,API Gateway & Service Mesh,$150M+,700,San Francisco,CA,https://konghq.com,https://konghq.com/careers,Augusto Marietti,2009,Private,N/A,"Series D ($225M raised, $1.4B valuation)"
1500,Airtable,Low-code Database Platform,$300M+,"1,000",San Francisco,CA,https://airtable.com,https://airtable.com/careers,Howie Liu,2012,Private,N/A,"Series F ($1.4B raised, $11B valuation)"
1550,Gong.io,Revenue Intelligence,$300M+,"1,500",San Francisco,CA,https://gong.io,https://www.gong.io/company/careers/,Amit Bendov,2015,Private,N/A,"Series E ($584M raised, $7.25B valuation)"
1600,Celonis,Process Mining & AI,$500M+,"3,500",Munich/New York,NY,https://celonis.com,https://www.celonis.com/careers/,Alex Rinke,2011,Private,N/A,"Series D ($1B raised, $13B valuation)"
1650,Sardine,Fraud & Compliance AI,$50M+,200,San Francisco,CA,https://sardine.ai,https://www.sardine.ai/careers,Soups Ranjan,2020,Private,N/A,Series C ($75M raised)
1700,Hex,Data Workspace & Analytics,$50M+,200,San Francisco,CA,https://hex.tech,https://hex.tech/careers,Barry McCardel,2019,Private,N/A,Series C ($52M raised)
1750,Fly.io,Edge App Platform,$50M+,100,Chicago,IL,https://fly.io,https://fly.io/jobs/,Kurt Mackey,2017,Private,N/A,Series C ($86M raised)
1800,Buildkite,CI/CD Platform,$50M+,200,San Francisco,CA,https://buildkite.com,https://buildkite.com/careers,Keith Pitt,2013,Private,N/A,Series B ($81M raised)
1850,Rudderstack,Customer Data Platform,$30M+,150,San Francisco,CA,https://rudderstack.com,https://www.rudderstack.com/careers/,Soumyadeb Mitra,2019,Private,N/A,Series B ($56M raised)
1900,Railway,Cloud Dev Platform,$30M+,50,San Francisco,CA,https://railway.app,https://railway.app/careers,Jake Cooper,2020,Private,N/A,Series B ($37M raised)
1950,Tinybird,Real-time Data Analytics API,$20M+,100,San Francisco,CA,https://tinybird.co,https://www.tinybird.co/about#careers,Jorge Gomez Sancha,2019,Private,N/A,Series B ($42M raised)
2000,Val Town,Social Coding Platform,$10M+,20,Brooklyn,NY,https://val.town,https://val.town/careers,Steve Krouse,2022,Private,N/A,Series A ($25M raised)
